nohup: ignoring input
 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5556/ (Press CTRL+C to quit)
172.17.0.1 - - [29/Dec/2018 05:23:42] "GET / HTTP/1.1" 404 -
172.17.0.1 - - [29/Dec/2018 05:23:42] "GET /favicon.ico HTTP/1.1" 404 -
172.17.0.1 - - [29/Dec/2018 05:23:52] "GET /notes HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:25:07] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:25:07] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:27:56] "GET /notes?pageNum=2&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:28:17] "GET /notes?pageNum=1&pageSize=15&categoryId=5 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:28:18] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:28:35] "GET /notes?pageNum=1&pageSize=15&categoryId=7 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:28:35] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:28:37] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:28:38] "GET /notes?pageNum=2&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:28:41] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:28:49] "GET /classify/6487/5 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:30:38] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:30:39] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:30:40] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:30:41] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:30:47] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:30:51] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:30:55] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:30:57] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:30:58] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:00] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:02] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:03] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:05] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:05] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:11] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:18] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:19] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:29] "GET /classify/6480/6 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:31] "GET /notes?pageNum=1&pageSize=15&categoryId=6 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:40] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:42] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:46] "POST /note/6480 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:31:55] "GET /classify/6419/10 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 05:32:00] "GET /classify/6420/10 HTTP/1.1" 200 -
